lift,drag,mach,aoa
0.0009411491861848718,-6.644319297879897e-7,0.01,0.3
0.006134189217280248,-9.927763556339536e-6,0.035,0.3
0.0178426179923521,-3.0128378377076992e-5,0.06,0.3
0.035697660088424746,-6.148617688837843e-5,0.085,0.3
0.05976964323704977,-0.000103538301514286,0.11,0.3
0.09024678468605214,-0.00015521959412155562,0.135,0.3
0.12690641925266452,-0.0002193164684907295,0.16,0.3
0.1700490863131314,-0.0002937791377727039,0.185,0.3
0.21961924822277676,-0.0003803951837464681,0.21,0.3
0.27566628798042414,-0.00047929365679505453,0.235,0.3
0.3384800183747655,-0.0005900668114592333,0.26,0.3
0.40809560260668154,-0.0007137243904316026,0.285,0.3
0.4846527465611734,-0.0008503650412239883,0.31,0.3
0.5683138655631629,-0.001001060312762203,0.335,0.3
0.6592538667937602,-0.0011661475947610245,0.36,0.3
0.7576748053323689,-0.0013462157793796559,0.385,0.3
0.8637985566610711,-0.0015425593829014872,0.41,0.3
0.9778771203544626,-0.0017556760531769466,0.435,0.3
1.1001854406536087,-0.001986825129173475,0.46,0.3
1.2310347295363213,-0.0022371947047915564,0.485,0.3
1.3707627386634005,-0.0025081229609562605,0.51,0.3
1.5196316343610177,-0.002801507117594193,0.535,0.3
1.6784179812604292,-0.0031174987969009305,0.56,0.3
1.8472924176710919,-0.0034598169065203077,0.585,0.3
2.026896593165923,-0.0038301131380340525,0.61,0.3
2.217882545873681,-0.004230801820737984,0.635,0.3
2.4208083060738055,-0.004665403157990022,0.66,0.3
2.6365942736812364,-0.005136957793218988,0.685,0.3
2.8660979097523427,-0.005649597535489548,0.71,0.3
3.110348827041593,-0.006207337614780428,0.735,0.3
3.3705625772021532,-0.006817440599232505,0.76,0.3
3.656341237075956,-0.007521264000763139,0.785,0.3
3.990577752090284,-0.008418939400367087,0.81,0.3
4.376635006173322,-0.00954344653140815,0.835,0.3
4.816182995132695,-0.010900404698332089,0.86,0.3
5.232897113364441,-0.012135884020736398,0.885,0.3
5.687253446467407,-0.013523821079330034,0.91,0.3
6.1873864889515,-0.0150914436011238,0.935,0.3
6.7335654271468774,-0.016814483023091853,0.96,0.3
7.3254813262822545,-0.01868619077489342,0.985,0.3
7.9621403602219285,-0.02067096559714443,1.01,0.3
8.641856577427346,-0.022730419049814543,1.035,0.3
9.362190436836196,-0.0247907114528374,1.06,0.3
10.119895416149609,-0.026800104727968233,1.085,0.3
10.910835768970028,-0.02884506101883133,1.11,0.3
11.729990185922041,-0.030906985612325855,1.135,0.3
11.818298405179041,-0.02969700678087861,1.16,0.3
11.178699397761628,-0.025972979430111565,1.185,0.3
10.929423659415738,-0.024405504471008754,1.21,0.3
10.755335190025459,-0.023339183819572895,1.235,0.3
10.612679703167734,-0.022512536379277748,1.26,0.3
10.498754991653474,-0.021879831337408007,1.285,0.3
10.406803105711985,-0.021367981969024896,1.31,0.3
10.33826053004585,-0.020961898928231193,1.335,0.3
10.29956447215214,-0.020748887431008,1.36,0.3
10.283075907453997,-0.020636924657182476,1.385,0.3
10.28316223827794,-0.02057056038072247,1.41,0.3
10.296760674991987,-0.020541336723447046,1.435,0.3
10.322638944195125,-0.020543536102916704,1.46,0.3
10.358313858679416,-0.020573933402125988,1.485,0.3
0.0002894143656595955,-1.9978337707955707e-6,0.01,0.4
0.007891819312315761,-1.7969063205374586e-5,0.035,0.4
0.023581971173713568,-5.390820046139583e-5,0.06,0.4
0.04741831688164176,-0.00010908787154505217,0.085,0.4
0.07957630520946758,-0.00018328030727354783,0.11,0.4
0.12027575794564462,-0.00027483386563298406,0.135,0.4
0.16922730339539885,-0.0003873413293912775,0.16,0.4
0.22670173256536907,-0.0005198633528081253,0.185,0.4
0.29281350989411886,-0.000673043248707067,0.21,0.4
0.3675920125086439,-0.0008476196700013816,0.235,0.4
0.45140765388350595,-0.0010430734599314317,0.26,0.4
0.5441718552806151,-0.001261898886840196,0.285,0.4
0.6463154626483467,-0.0015037483324211731,0.31,0.4
