aoa,mach,drag,lift
0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0
27.0,0.0,0.0,0.0
28.0,0.0,0.0,0.0
29.0,0.0,0.0,0.0
30.0,0.0,0.0,0.0
31.0,0.0,0.0,0.0
32.0,0.0,0.0,0.0
33.0,0.0,0.0,0.0
34.0,0.0,0.0,0.0
35.0,0.0,0.0,0.0
36.0,0.0,0.0,0.0
37.0,0.0,0.0,0.0
38.0,0.0,0.0,0.0
39.0,0.0,0.0,0.0
40.0,0.0,0.0,0.0
41.0,0.0,0.0,0.0
42.0,0.0,0.0,0.0
43.0,0.0,0.0,0.0
44.0,0.0,0.0,0.0
45.0,0.0,0.0,0.0
0.0,0.1,-0.07146702314435531,0.0
1.0,0.1,-0.07198170007084069,0.002446217268345573
2.0,0.1,-0.0748160462209535,0.009939375946054685
3.0,0.1,-0.07987219100985082,0.022716452154803588
4.0,0.1,-0.08702232737725561,0.04059064604590162
5.0,0.1,-0.09541924456758616,0.06263720079839569
6.0,0.1,-0.10448283739991995,0.08818129055362516
7.0,0.1,-0.11666541310805649,0.11954308956999347
8.0,0.1,-0.13256521537954072,0.1552247911148745
9.0,0.1,-0.15457591175559018,0.19545470436380583
10.0,0.1,-0.17955293427200952,0.24018155573479516
11.0,0.1,-0.20749144002814057,0.2892008376383888
12.0,0.1,-0.23858149712233975,0.34248069035997647
13.0,0.1,-0.2728915029399086,0.39985087125936525
14.0,0.1,-0.3105996657464526,0.46122994559163427
15.0,0.1,-0.3515312204625891,0.5261772853584278
16.0,0.1,-0.39561034698673436,0.5943358364332197
17.0,0.1,-0.4434063202037585,0.6659543188093983
18.0,0.1,-0.4944411659309437,0.7402618020097188
19.0,0.1,-0.5479683952626189,0.8162331966059684
20.0,0.1,-0.6040277029392256,0.8935908124494937
21.0,0.1,-0.6636079794690591,0.9729362707054044
22.0,0.1,-0.7264430766229353,1.0536777695524984
23.0,0.1,-0.7924078183218992,1.1353558557333254
24.0,0.1,-0.8614949229123379,1.2176199654971502
25.0,0.1,-0.9337054742950291,1.300127026765268
26.0,0.1,-1.0090338185510184,1.3825290243376651
27.0,0.1,-1.087384970519941,1.4644019568697568
